Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,C,
J1,"PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical",1,CAN,
J10,PinHeader_1x04_P2.54mm_Vertical,1,RS485,
J2,"PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical",1,RS485,
J3,"PhoenixContact_MCV_1,5_2-G-3.5_1x02_P3.50mm_Vertical",1,UART,
J4,"PhoenixContact_MCV_1,5_2-G-3.5_1x02_P3.50mm_Vertical",1,5V,
J5,"PhoenixContact_MCV_1,5_2-G-3.5_1x02_P3.50mm_Vertical",1,12V,
J6,PinHeader_1x02_P2.54mm_Vertical,1,UART,
J7,PinHeader_1x04_P2.54mm_Vertical,1,CAN,
J8,PinHeader_1x02_P2.54mm_Vertical,1,5V,
J9,PinHeader_1x02_P2.54mm_Vertical,1,12V,
R1,0805,1,470,
R2,0805,1,1K,
